[2026-06-29 22:35:52] ROLE: nurse | ACTION: FETCH | OBJ: siringa_1ml | BATCH: B6 | QTY: 2 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:35:53] ROLE: nurse | ACTION: FETCH | OBJ: paracetamol | BATCH: B11 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:36:42] ROLE: nurse | ACTION: FETCH | OBJ: siringa_1ml | BATCH: B6 | QTY: 2 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:36:42] ROLE: nurse | ACTION: FETCH | OBJ: paracetamol | BATCH: B11 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:36:43] ROLE: nurse | ACTION: FETCH | OBJ: antibiotic | BATCH: B15 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:36:45] ROLE: nurse | ACTION: FETCH | OBJ: sphygmo | BATCH: EQ1 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:36:45] ROLE: nurse | ACTION: FETCH | OBJ: siringa_1ml | BATCH: B6 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:41:16] ROLE: doctor | ACTION: GIVE | OBJ: gaza_5x5 | BATCH: B1 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:41:34] ROLE: doctor | ACTION: GIVE | OBJ: gaza_5x5 | BATCH: B1 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:50:10] ROLE: doctor | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B1 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:50:28] ROLE: doctor | ACTION: GIVE | OBJ: gaza_5x5 | BATCH: B1 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:56:33] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 22:56:34] ROLE: nurse | ACTION: GIVE | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 23:09:14] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 23:11:10] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 23:12:06] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-29 23:12:18] ROLE: nurse | ACTION: FETCH | OBJ: paracetamol | BATCH: B11 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-30 00:10:08] ROLE: nurse | ACTION: FETCH | OBJ: siringa_1ml | BATCH: B6 | QTY: 2.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-30 00:10:08] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-30 00:11:58] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-30 00:12:02] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-30 00:12:03] ROLE: nurse | ACTION: FETCH | OBJ: paracetamol | BATCH: B11 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-30 00:12:03] ROLE: nurse | ACTION: FETCH | OBJ: paracetamol | BATCH: B11 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
[2026-06-30 00:12:03] ROLE: nurse | ACTION: FETCH | OBJ: gaza_5x5 | BATCH: B2 | QTY: 1.0 | STATUS: SUCCESS | DETAILS: 
